image_filename,box_class,directory,split
aa7f403f405501ff.jpg,us2,us2,train
d5d10157f7880c77.jpg,us2,us2,train
d5aa8acc7c37b380.jpg,us2,us2,train
95952a2ad5d54cab.jpg,us2,us2,train
a9d2356a158aba75.jpg,us2,us2,train
e1cc966196bc6b16.jpg,us2,us2,train
f1f984067a65538b.jpg,us2,us2,train
f9827957803f40bd.jpg,us2,us2,train
d98b033275d58dd8.jpg,us2,us2,train
c4e464cd33931b9b.jpg,us2,us2,train
909d195317f5e18e.jpg,us2,us2,train
a69904f799649b6c.jpg,us2,us2,train
c5987be41af34c98.jpg,us2,us2,train
c58d9cc323da4cb3.jpg,us2,us2,train
96c916b9c669b748.jpg,us2,us2,train
f5900b9f6bc004ef.jpg,us2,us2,train
a06ece63334ece31.jpg,us2,us2,train
c6fc40df3c718744.jpg,us2,us2,train
859b659b648b748b.jpg,us2,us2,train
8fcfe8e0f0f860b0.jpg,us2,us2,train
90ba274559bab647.jpg,us2,us2,train
dc837ea13cc11ec3.jpg,us2,us2,train
9ddac6399220db35.jpg,us2,us2,train
a3f3b19cd802c5ea.jpg,us2,us2,train
a6d2b8a4375fc8e0.jpg,us2,us2,train
ded820af2bf266a0.jpg,us2,us2,train
c9e76e83f164b051.jpg,us2,us2,train
9ad2cb92b1af0d32.jpg,us2,us2,train
9ad2cb92b1af0d32.jpg,us2,us2,train
c5e5b507994f9506.jpg,us2,us2,train
cb9065ca956699e6.jpg,us2,us2,train
d3e68c73268c9966.jpg,us2,us2,train
870f0727078af1fa.jpg,us2,us2,train
c58d9cc323dacc33.jpg,us2,us2,train
d7069c08b367dd4c.jpg,us2,us2,train
b3c3cc30d5cc0cf3.jpg,us2,us2,train
90834df4f24b1dbc.jpg,us2,us2,train
bec45294e4bd8ac6.jpg,us2,us2,train
bcb8573b2391f023.jpg,us2,us2,train
dad2cd2b2b21e561.jpg,us2,us2,train
bcc73cf803788731.jpg,us2,us2,train
b0a160f2fe66ccf0.jpg,us2,us2,train
e93a14792ada1675.jpg,us2,us2,train
81971f7e1a4bc92c.jpg,us2,us2,train
d1c727b8860cf84f.jpg,us2,us2,train
81fe01ceb94e91e6.jpg,us2,us2,train
f68318f88f72990d.jpg,us2,us2,train
f68318f88f72990d.jpg,us2,us2,train
958f5cb34db00bcc.jpg,us2,us2,train
d6a9548b41bec13e.jpg,us2,us2,train
efd0a12f8e3170c9.jpg,us2,us2,train
d5ec52bf0baccc20.jpg,us2,us2,train
d5ec52bf0baccc20.jpg,us2,us2,train
bafe548759a0d60c.jpg,us2,us2,train
c4e645e6c6ee98e0.jpg,us2,us2,train
d33d0ef331488e63.jpg,us2,us2,train
d39436db6db10c52.jpg,us2,us2,train
e916d3952a4b2b4e.jpg,us2,us2,train
84d21bad5d13e647.jpg,us2,us2,train
d8a72c52b769d324.jpg,us2,us2,train
dce2f10e06733c3c.jpg,us2,us2,train
a6d0b8a4375fd8e0.jpg,us2,us2,train
d48103fea85fb643.jpg,us2,us2,train
efef2d2d4809a1a1.jpg,us2,us2,train
add2256a158aba75.jpg,us2,us2,train
d3e68d33268c9966.jpg,us2,us2,train
b8fdc60331fc1c46.jpg,us2,us2,train
e5962b9ba4649a69.jpg,us2,us2,train
84b2ed03614e9ebe.jpg,us2,us2,train
96e7e612ae62518d.jpg,us2,us2,train
95aa59b46ad52e23.jpg,us2,us2,train
95aa59b46ad52e23.jpg,us2,us2,train
aac541be67a34798.jpg,us2,us2,train
f6828f9808cbdc3e.jpg,us2,us2,train
